ECC Type,Capacity,CE,UE,SDC,UE+SDC,Critical Error Rate,Total
No ECC,2GB,0,0,32,32,0.0000320000,32
No ECC,4GB,0,0,50,50,0.0000500000,50
No ECC,8GB,0,0,55,55,0.0000550000,55
No ECC,16GB,0,0,105,105,0.0001050000,105
No ECC,32GB,0,0,279,279,0.0002790000,279
No ECC,64GB,0,0,563,563,0.0005630000,563
No ECC,128GB,1,0,1021,1021,0.0010210000,1022
SECDED,2GB,19,12,0,12,0.0000120000,31
SECDED,4GB,28,15,0,15,0.0000150000,43
SECDED,8GB,22,25,0,25,0.0000250000,47
SECDED,16GB,69,21,0,21,0.0000210000,90
SECDED,32GB,201,51,0,51,0.0000510000,252
SECDED,64GB,476,105,0,105,0.0001050000,581
SECDED,128GB,901,147,0,147,0.0001470000,1048
ChipKill,2GB,36,0,0,0,0.0000000000,36
ChipKill,4GB,36,0,0,0,0.0000000000,36
ChipKill,8GB,69,0,0,0,0.0000000000,69
ChipKill,16GB,92,0,0,0,0.0000000000,92
ChipKill,32GB,274,0,0,0,0.0000000000,274
ChipKill,64GB,545,0,0,0,0.0000000000,545
ChipKill,128GB,1078,0,0,0,0.0000000000,1078
