ECC Type,Capacity,CE,UE,SDC,UE+SDC,Critical Error Rate,Total
No ECC,2GB,0,0,70336,70336,0.0703360000,70336
No ECC,4GB,0,0,111894,111894,0.1118940000,111894
No ECC,8GB,0,0,130738,130738,0.1307380000,130738
No ECC,16GB,0,0,206262,206262,0.2062620000,206262
No ECC,32GB,0,0,521970,521970,0.5219700000,521970
No ECC,64GB,0,0,756166,756166,0.7561660000,756166
No ECC,128GB,0,0,930504,930504,0.9305040000,930504
SECDED,2GB,34326,36056,0,36056,0.0360560000,70382
SECDED,4GB,66450,45189,0,45189,0.0451890000,111639
SECDED,8GB,65149,65741,0,65741,0.0657410000,130890
SECDED,16GB,123898,82564,0,82564,0.0825640000,206462
SECDED,32GB,375279,146834,0,146834,0.1468340000,522113
SECDED,64GB,533652,222410,0,222410,0.2224100000,756062
SECDED,128GB,636468,293958,0,293958,0.2939580000,930426
ChipKill,2GB,69749,462,12,474,0.0004740000,70223
ChipKill,4GB,111010,753,31,784,0.0007840000,111794
ChipKill,8GB,129773,866,40,906,0.0009060000,130679
ChipKill,16GB,205388,1408,109,1517,0.0015170000,206905
ChipKill,32GB,517306,3257,886,4143,0.0041430000,521449
ChipKill,64GB,749532,4275,2254,6529,0.0065290000,756061
ChipKill,128GB,920666,5088,4368,9456,0.0094560000,930122
